fabricante,tipo_vehículo,transmision,tipo_combustible,cat_precio,marchas,cilindros,tamaño_motor,consumo_ciudad,consumo_carretera,consumo_combinado,mpg,co2
infiniti,station wagon - small,automático con selector de marcha,gasolina premium,premium,7,6,3.7,13.7,9.7,11.9,24,274
infiniti,suv - small,automático variable,gasolina premium,premium,7,6,3.5,11.4,8.5,10.1,28,232
infiniti,suv - small,automático variable,gasolina premium,premium,7,6,3.5,12.2,8.9,10.7,26,246
infiniti,suv - standard,automático variable,gasolina,premium,7,4,2.5,8.9,8.4,8.7,32,200
infiniti,suv - small,automático con selector de marcha,gasolina premium,premium,7,6,3.7,14.6,10.7,12.8,22,294
infiniti,suv - standard,automático con selector de marcha,gasolina premium,premium,7,8,5.6,16.9,11.9,14.7,19,338
jaguar,mid-size,automático con selector de marcha,gasolina premium,premium,8,6,3.0,13.9,8.8,11.6,24,267
jaguar,mid-size,automático con selector de marcha,gasolina premium,premium,8,8,5.0,15.7,10.3,13.2,21,304
jaguar,full-size,automático con selector de marcha,gasolina premium,premium,8,6,3.0,14.7,9.6,12.5,23,288
jaguar,minicompact,automático con selector de marcha,gasolina premium,premium,6,8,5.0,15.9,10.9,13.6,21,313
jaguar,minicompact,automático con selector de marcha,gasolina premium,premium,6,8,5.0,15.6,10.9,13.4,21,308
jeep,suv - small,automático,ethanol,asequibles,9,4,2.4,15.2,10.2,12.9,22,206
jeep,suv - small,automático,gasolina,asequibles,9,6,3.2,11.4,8.1,9.9,29,228
jeep,suv - small,automático,ethanol,asequibles,9,4,2.4,15.9,11.0,13.7,21,219
jeep,suv - small,automático,gasolina,asequibles,9,6,3.2,11.6,8.5,10.2,28,235
jeep,suv - small,automático,gasolina,asequibles,9,6,3.2,12.6,8.9,10.9,26,251
jeep,suv - small,automático,gasolina,asequibles,9,6,3.2,12.2,9.0,10.8,26,248
jeep,suv - small,manual,gasolina,asequibles,5,4,2.0,10.2,7.8,9.2,31,212
jeep,suv - small,automático,gasolina,asequibles,6,4,2.4,11.2,8.6,10.0,28,230
jeep,suv - small,manual,gasolina,asequibles,5,4,2.4,10.2,8.2,9.3,30,214
jeep,suv - small,manual,gasolina,asequibles,5,4,2.4,10.6,8.6,9.7,29,223
jeep,suv - standard,automático,gasolina,asequibles,8,8,5.7,17.3,11.5,14.7,19,338
jeep,suv - small,manual,gasolina,asequibles,6,4,1.4,9.9,7.5,8.8,32,202
jeep,suv - small,automático,gasolina,asequibles,9,4,2.4,10.8,7.7,9.4,30,216
jeep,suv - small,automático,ethanol,asequibles,9,4,2.4,14.2,9.9,12.2,23,195
jeep,suv - small,automático,gasolina,asequibles,9,4,2.4,11.2,8.0,9.8,29,225
kia,full-size,automático con selector de marcha,gasolina,asequibles,6,6,3.3,12.7,8.4,10.7,26,246
kia,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,1.8,8.8,6.1,7.6,37,175
kia,mid-size,manual,gasolina,asequibles,6,4,1.8,9.3,6.3,7.9,36,182
kia,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,2.0,9.7,6.7,8.3,34,191
kia,mid-size,manual,gasolina,asequibles,6,4,2.0,9.8,6.9,8.5,33,196
kia,full-size,automático con selector de marcha,gasolina,asequibles,6,4,1.6,11.1,8.0,9.7,29,223
kia,full-size,automático con selector de marcha,gasolina,asequibles,6,4,2.0,9.5,7.2,8.5,33,196
kia,full-size,manual,gasolina,asequibles,6,4,2.0,9.7,6.9,8.4,34,193
kia,compact,automático con selector de marcha,gasolina,asequibles,6,4,1.6,10.6,7.8,9.4,30,216
kia,compact,automático con selector de marcha,gasolina,asequibles,6,4,2.0,9.7,7.1,8.6,33,198
kia,compact,manual,gasolina,asequibles,6,4,2.0,10.0,7.4,8.8,32,202
kia,full-size,automático con selector de marcha,gasolina,asequibles,8,6,3.8,13.3,8.9,11.3,25,260
kia,full-size,automático con selector de marcha,gasolina premium,asequibles,8,8,5.0,15.7,10.3,13.3,21,306
kia,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,2.0,11.7,7.7,9.9,29,228
kia,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,2.4,10.2,6.9,8.7,32,200
kia,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,2.4,6.6,5.9,6.3,45,145
kia,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,2.4,6.7,6.1,6.4,44,147
kia,compact,automático con selector de marcha,gasolina,asequibles,6,4,1.6,8.8,6.3,7.7,37,177
kia,compact,automático con selector de marcha,gasolina,asequibles,6,4,1.6,8.5,6.3,7.6,37,175
kia,station wagon - mid-size,automático con selector de marcha,gasolina,asequibles,6,4,2.0,10.6,7.6,9.3,30,214
kia,minivan,automático con selector de marcha,gasolina,asequibles,6,6,3.3,13.2,9.7,11.6,24,267
kia,minivan,automático con selector de marcha,gasolina,asequibles,6,6,3.3,12.9,9.5,11.4,25,262
kia,minivan,automático con selector de marcha,gasolina,asequibles,6,6,3.3,14.2,10.5,12.5,23,288
kia,suv - small,automático con selector de marcha,gasolina,asequibles,6,4,2.4,11.8,8.7,10.4,27,239
kia,suv - small,automático con selector de marcha,gasolina,asequibles,6,6,3.3,12.7,9.0,11.1,25,255
kia,suv - small,automático con selector de marcha,gasolina,asequibles,6,4,2.4,12.2,9.4,10.9,26,251
kia,suv - small,automático con selector de marcha,gasolina,asequibles,6,6,3.3,13.4,10.0,11.8,24,271
kia,station wagon - small,automático con selector de marcha,gasolina,asequibles,6,4,1.6,9.8,7.8,8.9,32,205
kia,station wagon - small,automático con selector de marcha,gasolina,asequibles,6,4,2.0,10.1,7.7,9.0,31,207
kia,station wagon - small,automático con selector de marcha,gasolina,asequibles,6,4,2.0,9.7,7.7,8.8,32,202
kia,suv - small,automático con selector de marcha,gasolina,asequibles,6,4,2.4,11.4,8.3,10.0,28,230
kia,suv - small,manual,gasolina,asequibles,6,4,2.4,12.9,9.2,11.3,25,260
kia,suv - small,automático con selector de marcha,gasolina,asequibles,6,4,2.0,12.6,9.7,11.3,25,260
kia,suv - small,automático con selector de marcha,gasolina,asequibles,6,4,2.4,12.0,9.1,10.7,26,246
lamborghini,two-seater,automático manual,gasolina premium,premium,7,12,6.5,22.2,12.7,17.9,16,412
lamborghini,two-seater,automático manual,gasolina premium,premium,7,12,6.5,24.0,14.5,19.7,14,453
lamborghini,two-seater,automático manual,gasolina premium,premium,7,10,5.2,16.8,11.7,14.5,19,334
lamborghini,two-seater,automático manual,gasolina premium,premium,7,12,6.5,22.1,13.9,18.4,15,423
land rover,suv - standard,automático con selector de marcha,gasolina premium,premium,8,6,3.0,16.2,12.1,14.3,20,329
land rover,suv - standard,automático con selector de marcha,gasolina premium,premium,8,6,3.0,13.9,10.4,12.3,23,283
land rover,suv - small,automático con selector de marcha,gasolina premium,premium,9,4,2.0,11.3,7.9,9.7,29,223
land rover,suv - standard,automático con selector de marcha,gasolina premium,premium,8,6,3.0,14.0,10.5,12.4,23,285
lexus,mid-size,automático variable,gasolina,premium,6,4,2.5,5.8,6.1,5.9,48,136
lexus,mid-size,automático con selector de marcha,gasolina,premium,6,6,3.5,11.3,7.5,9.6,29,221
lexus,mid-size,automático con selector de marcha,gasolina premium,premium,8,6,3.5,12.3,8.5,10.6,27,244
lexus,mid-size,automático con selector de marcha,gasolina premium,premium,6,6,3.5,12.6,9.1,11.0,26,253
lexus,mid-size,automático variable,gasolina premium,premium,8,6,3.5,8.0,6.9,7.5,38,172
lexus,suv - standard,automático con selector de marcha,gasolina premium,premium,6,8,4.6,15.7,11.7,13.9,20,320
lexus,compact,automático con selector de marcha,gasolina premium,premium,6,6,2.5,11.1,7.8,9.6,29,221
lexus,subcompact,automático con selector de marcha,gasolina premium,premium,6,6,2.5,11.2,7.8,9.6,29,221
lexus,compact,automático con selector de marcha,gasolina premium,premium,8,6,3.5,12.3,8.5,10.6,27,244
lexus,compact,automático con selector de marcha,gasolina premium,premium,6,6,3.5,12.6,9.1,11.0,26,253
lexus,subcompact,automático con selector de marcha,gasolina premium,premium,6,6,3.5,12.2,8.7,10.6,27,244
lexus,mid-size,automático con selector de marcha,gasolina premium,premium,8,8,4.6,14.4,9.6,12.3,23,283
lexus,mid-size,automático con selector de marcha,gasolina premium,premium,8,8,4.6,15.2,10.2,12.9,22,297
lexus,mid-size,automático variable,gasolina premium,premium,8,8,5.0,12.7,10.1,11.5,25,264
lexus,suv - standard,automático con selector de marcha,gasolina premium,premium,6,8,5.7,19.0,13.6,16.6,17,382
lexus,suv - small,automático con selector de marcha,gasolina premium,premium,6,4,2.0,10.6,8.4,9.6,29,221
lexus,suv - small,automático con selector de marcha,gasolina premium,premium,6,4,2.0,10.8,8.8,9.9,29,228
lexus,suv - small,automático variable,gasolina,premium,6,4,2.5,7.1,7.7,7.4,38,170
lexus,subcompact,automático con selector de marcha,gasolina premium,premium,8,6,3.5,12.3,8.5,10.6,27,244
lexus,subcompact,automático con selector de marcha,gasolina premium,premium,6,6,3.5,12.6,9.1,11.0,26,253
lexus,subcompact,automático con selector de marcha,gasolina premium,premium,8,8,5.0,15.2,9.5,12.6,22,290
lexus,suv - small,automático variable,gasolina premium,premium,6,6,3.5,8.0,8.5,8.2,34,189
lincoln,suv - small,automático con selector de marcha,gasolina,premium,6,4,2.0,12.4,9.0,10.9,26,251
lincoln,suv - small,automático con selector de marcha,gasolina,premium,6,4,2.3,12.9,9.2,11.2,25,258
lincoln,full-size,automático con selector de marcha,gasolina,premium,6,6,3.5,13.9,9.5,11.9,24,274
lincoln,full-size,automático con selector de marcha,gasolina,premium,6,6,3.7,13.1,9.0,11.2,25,258
lincoln,suv - standard,automático con selector de marcha,gasolina,premium,6,6,3.5,14.6,10.4,12.8,22,294
lincoln,special purpose vehicle,automático con selector de marcha,gasolina,premium,6,4,2.0,11.5,8.4,10.1,28,232
lincoln,special purpose vehicle,automático,gasolina,premium,6,6,3.7,14.1,10.0,12.2,23,281
lincoln,suv - small,automático con selector de marcha,gasolina,premium,6,6,3.7,13.7,10.3,12.1,23,278
lincoln,mid-size,automático con selector de marcha,gasolina,premium,6,4,2.0,10.5,7.0,8.9,32,205
lincoln,mid-size,automático con selector de marcha,gasolina,premium,6,6,3.7,13.1,9.2,11.3,25,260
lincoln,suv - standard,automático con selector de marcha,gasolina,premium,6,6,3.5,16.2,11.8,14.2,20,327
lincoln,suv - standard,automático con selector de marcha,gasolina,premium,6,6,3.5,16.1,12.3,14.4,20,331
maserati,mid-size,automático con selector de marcha,gasolina premium,premium,8,6,3.0,15.6,9.5,12.8,22,294
maserati,subcompact,automático con selector de marcha,gasolina premium,premium,6,8,4.7,18.2,11.6,15.2,19,350
maserati,full-size,automático con selector de marcha,gasolina premium,premium,8,8,3.8,17.5,10.7,14.5,19,334
maserati,full-size,automático con selector de marcha,gasolina premium,premium,8,6,3.0,15.7,9.7,13.0,22,299
mazda,suv - small,automático con selector de marcha,gasolina,asequibles,6,4,2.5,9.9,7.9,9.0,31,207
mazda,suv - small,automático con selector de marcha,gasolina,asequibles,6,6,3.7,14.3,10.6,12.7,22,292
mazda,compact,automático con selector de marcha,gasolina,asequibles,6,4,2.5,8.2,5.9,7.2,39,166
mazda,compact,manual,gasolina,asequibles,6,4,2.5,9.3,6.4,8.0,35,184
mazda,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,2.0,8.0,5.9,7.0,40,161
mazda,mid-size,manual,gasolina,asequibles,6,4,2.0,8.2,5.9,7.1,40,163
mazda,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,2.5,8.2,6.0,7.2,39,166
mazda,mid-size,manual,gasolina,asequibles,6,4,2.5,9.2,6.6,8.1,35,186
mazda,minivan,automático con selector de marcha,gasolina,asequibles,5,4,2.5,10.7,8.2,9.6,29,221
mazda,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,2.5,8.8,6.1,7.6,37,175
mazda,two-seater,automático con selector de marcha,gasolina premium,asequibles,6,4,2.0,11.5,8.5,10.1,28,232
mercedes-benz,station wagon - small,automático con selector de marcha,gasolina premium,premium,7,4,2.0,10.0,7.5,8.9,32,205
mercedes-benz,subcompact,automático con selector de marcha,gasolina premium,premium,7,4,1.8,10.9,7.5,9.4,30,216
mercedes-benz,compact,automático con selector de marcha,gasolina premium,premium,7,4,2.0,10.1,7.8,9.0,31,207
mercedes-benz,compact,automático con selector de marcha,gasolina premium,premium,7,6,3.0,11.1,8.4,9.9,29,228
mercedes-benz,subcompact,automático con selector de marcha,gasolina premium,premium,7,8,6.2,17.9,12.3,15.4,18,354
mercedes-benz,subcompact,automático con selector de marcha,gasolina premium,premium,7,4,2.0,9.4,6.4,8.1,35,186
mercedes-benz,subcompact,automático con selector de marcha,gasolina premium,premium,7,4,2.0,9.9,7.4,8.8,32,202
mercedes-benz,compact,automático con selector de marcha,gasolina premium,premium,7,4,2.0,10.2,7.7,9.1,31,209
mercedes-benz,compact,automático con selector de marcha,gasolina premium,premium,7,6,3.0,12.1,8.5,10.5,27,242
mercedes-benz,compact,automático con selector de marcha,gasolina premium,premium,7,8,4.7,14.5,10.1,12.5,23,288
mercedes-benz,compact,automático con selector de marcha,gasolina premium,premium,7,8,5.5,15.1,10.8,13.1,22,301
mercedes-benz,mid-size,automático con selector de marcha,diesel,premium,7,4,2.1,8.6,5.9,7.4,38,200
mercedes-benz,mid-size,automático con selector de marcha,gasolina premium,premium,7,6,3.5,11.9,8.2,10.2,28,235
mercedes-benz,mid-size,automático con selector de marcha,gasolina premium,premium,7,6,3.0,12.0,8.5,10.4,27,239
mercedes-benz,station wagon - mid-size,automático con selector de marcha,gasolina premium,premium,7,6,3.5,12.4,8.8,10.8,26,248
mercedes-benz,subcompact,automático con selector de marcha,gasolina premium,premium,7,6,3.5,11.5,8.1,10.0,28,230
mercedes-benz,subcompact,automático con selector de marcha,gasolina premium,premium,7,6,3.5,11.8,8.3,10.2,28,235
mercedes-benz,mid-size,automático con selector de marcha,gasolina premium,premium,7,8,4.7,12.9,9.6,11.4,25,262
mercedes-benz,subcompact,automático con selector de marcha,gasolina premium,premium,7,8,4.7,13.7,9.2,11.7,24,269
mercedes-benz,subcompact,automático con selector de marcha,gasolina premium,premium,7,8,4.7,13.3,8.9,11.4,25,262
mercedes-benz,mid-size,automático con selector de marcha,gasolina premium,premium,7,8,5.5,15.3,10.8,13.3,21,306
mercedes-benz,station wagon - mid-size,automático con selector de marcha,gasolina premium,premium,7,8,5.5,15.2,11.0,13.3,21,306
mercedes-benz,suv - standard,automático con selector de marcha,gasolina premium,premium,7,8,5.5,19.9,16.1,18.2,16,419
mercedes-benz,suv - standard,automático con selector de marcha,gasolina premium,premium,7,8,5.5,20.0,16.6,18.5,15,426
mercedes-benz,suv - standard,automático con selector de marcha,diesel,premium,7,6,3.0,13.6,10.0,12.0,24,324
mercedes-benz,suv - standard,automático con selector de marcha,gasolina premium,premium,7,6,3.0,15.2,12.6,14.0,20,322
mercedes-benz,suv - standard,automático con selector de marcha,gasolina premium,premium,7,8,4.7,17.5,13.2,15.6,18,359
mercedes-benz,suv - standard,automático con selector de marcha,gasolina premium,premium,7,8,5.5,18.2,14.0,16.3,17,375
mercedes-benz,suv - small,automático con selector de marcha,gasolina premium,premium,7,4,2.0,9.8,7.4,8.7,32,200
mercedes-benz,station wagon - mid-size,automático con selector de marcha,gasolina premium,premium,7,4,2.0,10.5,8.1,9.4,30,216
mercedes-benz,suv - small,automático con selector de marcha,diesel,premium,7,4,2.1,9.6,7.0,8.5,33,230
mercedes-benz,suv - small,automático con selector de marcha,gasolina premium,premium,7,6,3.5,12.6,9.6,11.2,25,258
mercedes-benz,suv - standard,automático con selector de marcha,gasolina premium,premium,7,6,3.0,13.3,10.4,12.0,24,276
mercedes-benz,suv - standard,automático con selector de marcha,gasolina premium,premium,7,8,4.7,16.3,11.8,14.2,20,327
mercedes-benz,suv - standard,automático con selector de marcha,gasolina premium,premium,7,8,5.5,17.3,13.5,15.6,18,359
mercedes-benz,mid-size,automático con selector de marcha,gasolina premium,premium,7,6,4.7,12.6,8.6,10.8,26,248
mercedes-benz,compact,automático con selector de marcha,gasolina premium,premium,7,8,4.7,14.4,9.8,12.3,23,283
mercedes-benz,full-size,automático con selector de marcha,gasolina premium,premium,7,8,4.7,14.8,9.8,12.5,23,288
mercedes-benz,mid-size,automático con selector de marcha,gasolina premium,premium,7,8,4.7,14.7,9.1,12.2,23,281
mercedes-benz,full-size,automático con selector de marcha,gasolina premium,premium,7,12,6.0,18.1,11.0,14.9,19,343
mercedes-benz,full-size,automático con selector de marcha,gasolina premium,premium,7,8,5.5,15.7,10.1,13.2,21,304
mercedes-benz,compact,automático con selector de marcha,gasolina premium,premium,7,8,5.5,15.7,10.1,13.2,21,304
mercedes-benz,full-size,automático con selector de marcha,gasolina premium,premium,7,12,6.0,18.5,11.8,15.5,18,357
mercedes-benz,compact,automático con selector de marcha,gasolina premium,premium,7,12,6.0,18.0,11.3,15.0,19,345
mercedes-benz,two-seater,automático con selector de marcha,gasolina premium,premium,7,8,4.7,13.8,9.5,11.9,24,274
mercedes-benz,two-seater,automático con selector de marcha,gasolina premium,premium,7,8,5.5,14.7,9.5,12.4,23,285
mercedes-benz,two-seater,automático con selector de marcha,gasolina premium,premium,7,12,6.0,16.7,11.2,14.2,20,327
mercedes-benz,two-seater,automático con selector de marcha,gasolina premium,premium,7,4,1.8,10.4,7.2,9.0,31,207
mercedes-benz,two-seater,manual,gasolina premium,premium,6,4,1.8,10.4,7.2,9.0,31,207
mercedes-benz,two-seater,automático con selector de marcha,gasolina premium,premium,7,8,5.5,12.4,8.5,10.6,27,244
mercedes-benz,two-seater,automático manual,gasolina premium,premium,7,8,6.2,18.1,12.6,15.6,18,359
mini,subcompact,automático con selector de marcha,gasolina premium,rango_medio,6,3,1.5,8.5,6.3,7.5,38,172
mini,subcompact,manual,gasolina premium,rango_medio,6,3,1.5,8.1,5.9,7.1,40,163
mini,subcompact,manual,gasolina premium,rango_medio,6,3,1.5,8.2,5.9,7.2,39,166
mini,minicompact,automático con selector de marcha,gasolina premium,rango_medio,6,4,1.6,8.6,6.5,7.7,37,177
mini,minicompact,manual,gasolina premium,rango_medio,6,4,1.6,8.4,6.4,7.5,38,172
mini,compact,automático con selector de marcha,gasolina premium,rango_medio,6,4,1.6,9.4,7.9,8.7,32,200
mini,compact,manual,gasolina premium,rango_medio,6,4,1.6,8.4,6.4,7.5,38,172
mini,two-seater,automático con selector de marcha,gasolina premium,rango_medio,6,4,1.6,8.5,6.5,7.6,37,175
mini,two-seater,automático con selector de marcha,gasolina premium,rango_medio,6,4,1.6,8.6,6.5,7.7,37,177
mini,two-seater,manual,gasolina premium,rango_medio,6,4,1.6,8.4,6.4,7.5,38,172
mini,subcompact,automático con selector de marcha,gasolina premium,rango_medio,6,4,2.0,9.2,7.0,8.2,34,189
mini,subcompact,manual,gasolina premium,rango_medio,6,4,2.0,10.0,7.0,8.6,33,198
mini,minicompact,automático con selector de marcha,gasolina premium,rango_medio,6,4,1.6,9.2,6.8,8.1,35,186
mini,minicompact,manual,gasolina premium,rango_medio,6,4,1.6,9.1,6.8,8.1,35,186
mini,compact,automático con selector de marcha,gasolina premium,rango_medio,6,4,1.6,10.1,7.8,9.0,31,207
mini,compact,manual,gasolina premium,rango_medio,6,4,1.6,9.5,7.7,8.7,32,200
mini,two-seater,automático con selector de marcha,gasolina premium,rango_medio,6,4,1.6,9.2,6.8,8.1,35,186
mini,two-seater,manual,gasolina premium,rango_medio,6,4,1.6,9.1,6.8,8.1,35,186
mini,subcompact,automático con selector de marcha,gasolina premium,rango_medio,6,4,2.0,9.3,7.3,8.4,34,193
mini,subcompact,manual,gasolina premium,rango_medio,6,4,2.0,10.4,7.7,9.2,31,212
mitsubishi,compact,automático variable,gasolina,rango_medio,6,4,2.0,9.2,6.9,8.2,34,189
mitsubishi,compact,manual,gasolina,rango_medio,5,4,2.0,9.6,6.9,8.4,34,193
mitsubishi,compact,automático variable,gasolina,rango_medio,6,4,2.4,10.5,8.2,9.5,30,219
mitsubishi,compact,manual,gasolina,rango_medio,5,3,1.2,7.0,5.5,6.4,44,147
mitsubishi,suv - small,automático con selector de marcha,gasolina premium,rango_medio,6,6,3.0,11.5,8.4,10.1,28,232
mitsubishi,suv - small,automático variable,gasolina,rango_medio,6,4,2.0,9.3,7.3,8.4,34,193
mitsubishi,suv - small,manual,gasolina,rango_medio,5,4,2.0,9.9,7.6,8.8,32,202
mitsubishi,suv - small,automático variable,gasolina,rango_medio,6,4,2.0,9.6,7.7,8.8,32,202
mitsubishi,suv - small,automático variable,gasolina,rango_medio,6,4,2.4,10.4,8.5,9.6,29,221
nissan,two-seater,automático con selector de marcha,gasolina premium,asequibles,7,6,3.7,12.6,9.2,11.1,25,255
nissan,two-seater,automático con selector de marcha,gasolina premium,asequibles,7,6,3.7,13.0,9.6,11.5,25,264
nissan,two-seater,manual,gasolina premium,asequibles,6,6,3.7,13.6,9.7,11.8,24,271
nissan,suv - standard,automático,gasolina,asequibles,5,8,5.6,19.2,13.4,16.6,17,382
nissan,pickup truck - small,automático,gasolina,asequibles,5,6,4.0,14.8,10.3,12.7,22,292
nissan,pickup truck - small,automático,gasolina,asequibles,5,6,4.0,15.7,11.3,13.7,21,315
nissan,pickup truck - small,manual,gasolina,asequibles,6,6,4.0,15.0,11.2,13.3,21,306
nissan,subcompact,automático manual,gasolina premium,asequibles,6,6,3.8,14.3,10.5,12.6,22,290
nissan,station wagon - small,automático variable,gasolina,asequibles,7,4,1.6,8.5,7.2,7.9,36,182
nissan,station wagon - small,manual,gasolina,asequibles,6,4,1.6,8.4,6.9,7.7,37,177
nissan,station wagon - small,automático variable,gasolina,asequibles,7,4,1.6,8.8,7.5,8.2,34,189
nissan,station wagon - small,manual,gasolina premium,asequibles,6,4,1.6,8.9,7.5,8.3,34,191
nissan,station wagon - small,automático variable,gasolina premium,asequibles,8,4,1.6,9.4,8.1,8.8,32,202
nissan,compact,automático,gasolina,asequibles,4,4,1.6,8.8,6.6,7.8,36,179
nissan,compact,manual,gasolina,asequibles,5,4,1.6,8.6,6.6,7.7,37,177
nissan,station wagon - mid-size,automático variable,gasolina,asequibles,7,6,3.5,11.0,8.2,9.8,29,225
nissan,station wagon - mid-size,automático variable,gasolina,asequibles,7,6,3.5,11.2,8.3,9.9,29,228
nissan,pickup truck - standard,automático,gasolina,asequibles,5,8,5.6,18.4,13.3,16.1,18,370
nissan,pickup truck - standard,automático,gasolina,asequibles,5,8,5.6,19.7,14.3,17.2,16,396
nissan,mid-size,manual,gasolina,asequibles,6,4,1.8,8.9,6.6,7.9,36,182
nissan,suv - small,automático,gasolina,asequibles,5,6,4.0,16.0,12.0,14.2,20,327
nissan,suv - small,manual,gasolina,asequibles,6,6,4.0,16.0,12.3,14.4,20,331
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.4,11.6,8.4,10.1,28,232
porsche,minicompact,manual,gasolina premium,premium,7,6,3.4,12.3,8.6,10.6,27,244
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.4,11.5,8.3,10.1,28,232
porsche,minicompact,manual,gasolina premium,premium,7,6,3.4,12.3,8.7,10.7,26,246
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.4,11.6,8.5,10.2,28,235
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.4,11.9,8.7,10.5,27,242
porsche,minicompact,manual,gasolina premium,premium,7,6,3.4,12.5,9.0,10.9,26,251
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.8,12.6,9.2,11.1,25,255
porsche,minicompact,manual,gasolina premium,premium,7,6,3.8,13.0,9.2,11.3,25,260
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.8,13.1,9.4,11.4,25,262
porsche,minicompact,manual,gasolina premium,premium,7,6,3.8,13.4,9.3,11.6,24,267
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.8,12.2,8.9,10.7,26,246
porsche,minicompact,manual,gasolina premium,premium,7,6,3.8,12.6,8.9,11.0,26,253
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.8,12.5,9.0,11.0,26,253
porsche,minicompact,manual,gasolina premium,premium,7,6,3.8,12.9,9.2,11.2,25,258
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.8,12.6,9.0,11.0,26,253
porsche,minicompact,manual,gasolina premium,premium,7,6,3.8,12.9,9.0,11.2,25,258
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.8,11.9,8.7,10.5,27,242
porsche,minicompact,manual,gasolina premium,premium,7,6,3.8,12.4,8.7,10.7,26,246
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.8,12.2,8.7,10.6,27,244
porsche,minicompact,manual,gasolina premium,premium,7,6,3.8,12.5,8.9,10.9,26,251
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.4,12.3,8.9,10.8,26,248
porsche,minicompact,manual,gasolina premium,premium,7,6,3.4,12.9,9.0,11.1,25,255
porsche,minicompact,automático manual,gasolina premium,premium,7,6,3.8,12.8,9.3,11.2,25,258
porsche,minicompact,manual,gasolina premium,premium,7,6,3.8,13.1,9.2,11.4,25,262
porsche,two-seater,automático manual,gasolina premium,premium,7,6,3.4,10.9,7.7,9.5,30,218
porsche,two-seater,manual,gasolina premium,premium,6,6,3.4,12.1,8.9,10.7,26,246
porsche,suv - standard,automático,gasolina premium,premium,8,6,3.6,14.3,9.6,12.2,23,286
porsche,suv - standard,automático,gasolina premium,premium,8,8,4.8,16.7,11.2,14.2,20,327
porsche,suv - small,automático,gasolina premium,premium,7,6,3.0,13.7,10.3,12.2,23,281
porsche,suv - small,automático,gasolina premium,premium,7,6,3.6,14.2,10.1,12.3,23,283
porsche,full-size,automático manual,gasolina premium,premium,7,6,3.0,13.4,8.8,11.4,25,262
ram,pickup truck - standard,automático,gasolina,rango_medio,8,8,5.7,15.7,10.9,13.6,21,313
ram,pickup truck - standard,automático,diesel,rango_medio,8,6,3.0,11.5,8.4,10.1,28,273
ram,pickup truck - standard,automático,diesel,rango_medio,8,6,3.0,11.3,8.0,9.8,29,265
ram,pickup truck - standard,automático,gasolina,rango_medio,6,8,5.7,17.7,12.7,15.4,18,354
ram,pickup truck - standard,automático,gasolina,rango_medio,8,8,5.7,16.2,11.5,14.1,20,324
ram,special purpose vehicle,automático,gasolina,rango_medio,9,4,2.4,11.2,8.1,9.8,29,225
rolls-royce,full-size,automático con selector de marcha,gasolina premium,premium,8,12,6.6,19.2,12.4,16.1,18,370
rolls-royce,full-size,automático con selector de marcha,gasolina premium,premium,8,12,6.7,20.9,12.7,17.2,16,396
rolls-royce,full-size,automático con selector de marcha,gasolina premium,premium,8,12,6.7,20.7,12.9,17.2,16,396
rolls-royce,compact,automático con selector de marcha,gasolina premium,premium,8,12,6.7,20.9,12.7,17.2,16,396
rolls-royce,compact,automático con selector de marcha,gasolina premium,premium,8,12,6.7,20.7,12.9,17.2,16,396
rolls-royce,mid-size,automático con selector de marcha,gasolina premium,premium,8,12,6.6,18.7,11.8,15.6,18,359
scion,minicompact,manual,gasolina premium,premium,6,4,2.0,10.9,7.9,9.6,29,221
scion,compact,automático con selector de marcha,gasolina,premium,6,4,2.5,10.2,7.6,9.0,31,207
scion,compact,manual,gasolina,premium,6,4,2.5,10.2,7.7,9.0,31,207
scion,station wagon - small,automático con selector de marcha,gasolina,premium,4,4,2.4,10.9,8.5,9.8,29,225
scion,station wagon - small,manual,gasolina,premium,5,4,2.4,10.8,8.5,9.8,29,225
smart,two-seater,automático manual,gasolina premium,rango_medio,5,3,1.0,6.8,6.2,6.5,43,150
subaru,minicompact,automático con selector de marcha,gasolina premium,premium,6,4,2.0,9.6,7.0,8.4,34,193
subaru,minicompact,manual,gasolina premium,premium,6,4,2.0,10.9,7.9,9.6,29,221
